,loss,accuracy
0,0.992632003094457,0.54296875
1,0.9786830653722407,0.6484375
2,0.9637501733563034,0.75390625
3,0.9482973700054266,0.828125
4,0.932318672746053,0.865234375
5,0.9163787342289164,0.890625
6,0.9008325081992213,0.916015625
7,0.8861999752557914,0.935546875
8,0.8726365903455034,0.943359375
9,0.8600915593978219,0.943359375
10,0.8491916517591938,0.955078125
11,0.8391575681137708,0.958984375
12,0.8301815127586084,0.962890625
13,0.8220567449508215,0.962890625
14,0.8145257001874224,0.96484375
15,0.8076338960809453,0.96875
16,0.8010064175420175,0.966796875
17,0.7946657934486504,0.96875
18,0.788599365743766,0.96875
19,0.7826630918334954,0.96875
