,loss,accuracy,val_loss,val_accuracy
0,0.5667227485997125,0.8007196969155109,0.23852201928327715,0.9514925373134329
1,0.1807950008362928,0.9591003787336927,0.13219357160303583,0.9696828358208955
2,0.1383537812420211,0.9661931818482852,0.11822523106532927,0.9692164179104478
3,0.1309950263508155,0.9659090909090909,0.11498476426962238,0.9678171641791045
4,0.1289781904595017,0.9650978534811675,0.11342187695987875,0.96875
5,0.12747242010484403,0.9654356060606061,0.11179060118312742,0.96875
6,0.12591865581616923,0.9656502524710665,0.11024293452617209,0.96875
7,0.12397873517240182,0.9658869948953089,0.10825330170184325,0.9701492537313433
8,0.12098045630403285,0.9669917928751068,0.10623704819196332,0.9696828358208955
9,0.11857282205588711,0.9672285352993493,0.10551280895442419,0.9696828358208955
10,0.11752244307564316,0.9675662878787878,0.10477952569851248,0.9696828358208955
11,0.11678782791824469,0.9677809342892483,0.10398605284575592,0.9696828358208955
12,0.11620752622673505,0.9678598484306624,0.10362393427474006,0.9692164179104478
13,0.11584525647108285,0.9677809342892483,0.10325950281114309,0.9692164179104478
14,0.11554770621816099,0.9678030303030303,0.10322989743419347,0.9696828358208955
15,0.11542055556084291,0.9677020201478341,0.10304631466167068,0.9696828358208955
16,0.11530823921938743,0.9678030303030303,0.10295687488693019,0.9696828358208955
17,0.11519657680451037,0.9678030303030303,0.1032146541226117,0.9696828358208955
18,0.11515300955340219,0.9680303029640757,0.10302927393263328,0.9692164179104478
19,0.11513675801077332,0.9681186868686869,0.10303176181709052,0.96875
