,loss,accuracy
0,1.0120758489148665,0.490234375
1,1.0004647606506454,0.490234375
2,0.9889863554177265,0.490234375
3,0.9771848127120357,0.490234375
4,0.9659071075530603,0.4921875
5,0.9549069188839254,0.4921875
6,0.94480653028967,0.49609375
7,0.9350578768876565,0.501953125
8,0.9263305747665073,0.51953125
9,0.918534267103759,0.548828125
10,0.9112712669524143,0.6015625
11,0.9047025633470877,0.658203125
12,0.8988006092920828,0.72265625
13,0.8931100068719499,0.76953125
14,0.887830871646381,0.794921875
15,0.8826348935595614,0.82421875
16,0.877683810616774,0.865234375
17,0.8726500821405796,0.875
18,0.8677638546838633,0.892578125
19,0.8628979696996107,0.8984375
